date,gamma,elecro,lon,L
2023-12-0100:00:00.000,1.2653333,N/A,313.30234,1.1625500
2023-12-0100:01:00.000,1.2246667,N/A,312.52243,1.2001600
2023-12-0100:02:00.000,1.1963333,N/A,311.72339,1.2562100
2023-12-0100:03:00.000,1.2280000,N/A,310.89926,1.3318300
2023-12-0100:04:00.000,1.2553333,N/A,310.04306,1.4338500
2023-12-0100:05:00.000,1.3480000,N/A,309.14636,1.5681900
2023-12-0100:06:00.000,1.3283333,N/A,308.19894,1.7426200
2023-12-0100:07:00.000,1.4910000,N/A,307.18793,1.9658500
2023-12-0100:08:00.000,1.6116667,N/A,306.09698,2.2552500
2023-12-0100:09:00.000,1.7400000,N/A,304.90454,2.6381400
2023-12-0100:10:00.000,5.6305000,N/A,303.58179,3.1562200
2023-12-0100:11:00.000,N/A,N/A,302.08911,3.8768101
2023-12-0100:12:00.000,N/A,N/A,300.37033,4.9150701
2023-12-0100:13:00.000,N/A,N/A,298.34317,6.5071802
2023-12-0100:14:00.000,N/A,N/A,295.88260,9.1336498
2023-12-0100:15:00.000,1.6800000,N/A,292.78986,13.833950
2023-12-0100:16:00.000,1.7180000,N/A,288.73260,23.215099
2023-12-0100:17:00.000,1.7036667,N/A,283.12363,45.522289
2023-12-0100:18:00.000,1.8973333,N/A,274.87234,108.81377
2023-12-0100:19:00.000,1.8336667,N/A,261.95786,219.10632
2023-12-0100:20:00.000,1.7803333,N/A,241.48483,127.67997
2023-12-0100:21:00.000,2.1296667,N/A,213.93388,53.509090
2023-12-0100:22:00.000,2.5743333,N/A,188.55705,27.184191
2023-12-0100:23:00.000,2.0460000,N/A,171.42715,16.211000
2023-12-0100:24:00.000,82.160333,N/A,160.69957,10.691610
2023-12-0100:25:00.000,138.98867,N/A,153.68523,7.5050902
2023-12-0100:26:00.000,374.86267,N/A,148.79243,5.5425200
2023-12-0100:27:00.000,463.43367,N/A,145.17374,4.2971702
2023-12-0100:28:00.000,50.087667,N/A,142.36470,3.4580200
2023-12-0100:29:00.000,1.9143333,N/A,140.09654,2.8599601
2023-12-0100:30:00.000,1.5180000,N/A,138.20508,2.4190900
2023-12-0100:31:00.000,1.4690000,N/A,136.58510,2.0872800
2023-12-0100:32:00.000,1.3776667,N/A,135.16629,1.8328300
2023-12-0100:33:00.000,1.2146667,N/A,133.89999,1.6350100
2023-12-0100:34:00.000,1.1000000,N/A,132.75140,1.4790300
2023-12-0100:35:00.000,0.99333333,N/A,131.69499,1.3550000
2023-12-0100:36:00.000,0.94800000,N/A,130.71152,1.2565399
2023-12-0100:37:00.000,0.92033333,N/A,129.78612,1.1784800
2023-12-0100:38:00.000,0.89233333,N/A,128.90714,1.1171200
2023-12-0100:39:00.000,0.91166667,N/A,128.06514,1.0694700
2023-12-0100:40:00.000,0.88000000,N/A,127.25235,1.0349400
2023-12-0100:41:00.000,0.92700000,N/A,126.46222,1.0111800
2023-12-0100:42:00.000,0.87400000,N/A,125.68908,0.99829000
2023-12-0100:43:00.000,0.88433333,N/A,124.92789,0.99592000
2023-12-0100:44:00.000,0.91800000,N/A,124.17404,1.0033600
2023-12-0100:45:00.000,0.88433333,N/A,123.42317,1.0218600
2023-12-0100:46:00.000,0.89966667,N/A,122.67102,1.0525000
2023-12-0100:47:00.000,0.87933333,N/A,121.91330,1.0965000
2023-12-0100:48:00.000,0.89833333,N/A,121.14553,1.1567800
2023-12-0100:49:00.000,0.95766667,N/A,120.36287,1.2363700
2023-12-0100:50:00.000,1.0636667,N/A,119.55995,1.3406301
2023-12-0100:51:00.000,1.1506667,N/A,118.73064,1.4755900
2023-12-0100:52:00.000,1.2963333,N/A,117.86776,1.6509100
2023-12-0100:53:00.000,1.4786667,N/A,116.96266,1.8801800
2023-12-0100:54:00.000,1.6413333,N/A,116.00474,2.1824200
2023-12-0100:55:00.000,5.7526667,N/A,114.98068,2.5899000
2023-12-0100:56:00.000,223.68200,N/A,113.87340,3.1516099
2023-12-0100:57:00.000,201.49400,N/A,112.66045,3.9410901
2023-12-0100:58:00.000,62.958667,0.000000e+0,111.31167,5.0703802
2023-12-0100:59:00.000,39.415667,N/A,109.78542,6.7482800
2023-12-0101:00:00.000,2.1460000,N/A,108.02248,9.4784298
2023-12-0101:01:00.000,1.9836667,N/A,105.93587,14.181170
2023-12-0101:02:00.000,1.6026667,N/A,103.39270,22.289860
2023-12-0101:03:00.000,1.6523333,N/A,100.18081,34.764408
2023-12-0101:04:00.000,1.7520000,N/A,95.943764,46.974331
2023-12-0101:05:00.000,1.5510000,N/A,90.049156,45.925610
2023-12-0101:06:00.000,1.6956667,N/A,81.323509,33.874088
2023-12-0101:07:00.000,2.0420000,N/A,67.632782,22.823380
2023-12-0101:08:00.000,1.8326667,N/A,46.211349,15.743860
2023-12-0101:09:00.000,1.8040000,N/A,18.581530,11.321290
2023-12-0101:10:00.000,2.5410000,N/A,354.29465,8.5066605
2023-12-0101:11:00.000,277.14133,N/A,338.14462,6.6229000
2023-12-0101:12:00.000,561.53000,0.000000e+0,327.96838,5.2997999
2023-12-0101:13:00.000,557.19967,0.000000e+0,321.24680,4.3445802
2023-12-0101:14:00.000,438.97300,0.000000e+0,316.51639,3.6446500
2023-12-0101:15:00.000,38.473000,N/A,312.99319,3.1224899
2023-12-0101:16:00.000,17.437000,N/A,310.24332,2.7219801
2023-12-0101:17:00.000,38.741000,N/A,308.01352,2.4074099
2023-12-0101:18:00.000,37.204667,N/A,306.14780,2.1561799
2023-12-0101:19:00.000,50.706000,N/A,304.54562,1.9528400
2023-12-0101:20:00.000,109.05333,N/A,303.13940,1.7866700
2023-12-0101:21:00.000,154.43000,N/A,301.88214,1.6502200
2023-12-0101:22:00.000,187.11300,N/A,300.74014,1.5372400
2023-12-0101:23:00.000,260.91467,0.000000e+0,299.68857,1.4440000
2023-12-0101:24:00.000,248.96400,0.000000e+0,298.70862,1.3675500
2023-12-0101:25:00.000,299.00267,0.000000e+0,297.78583,1.3049800
2023-12-0101:26:00.000,246.01733,N/A,296.90869,1.2553800
2023-12-0101:27:00.000,185.38967,N/A,296.06793,1.2168900
2023-12-0101:28:00.000,132.29200,N/A,295.25592,1.1896900
2023-12-0101:29:00.000,82.625222,N/A,294.46619,1.1719000
2023-12-0101:30:00.000,27.922000,N/A,293.69308,1.1648901
2023-12-0101:31:00.000,5.8306667,N/A,292.93158,1.1671500
2023-12-0101:32:00.000,1.8840000,N/A,292.17715,1.1793600
2023-12-0101:33:00.000,1.6466667,N/A,291.42538,1.2015600
2023-12-0101:34:00.000,1.5706667,N/A,290.67197,1.2347701
2023-12-0101:35:00.000,1.4940000,N/A,289.91266,1.2783000
2023-12-0101:36:00.000,1.4370000,N/A,289.14288,1.3345799
2023-12-0101:37:00.000,1.4336667,N/A,288.35773,1.4057600
2023-12-0101:38:00.000,1.4613333,N/A,287.55173,1.4933900
2023-12-0101:39:00.000,1.5073333,N/A,286.71860,1.6023800
2023-12-0101:40:00.000,1.5560000,N/A,285.85101,1.7403600
2023-12-0101:41:00.000,1.6730000,N/A,284.94003,1.9141600
2023-12-0101:42:00.000,1.9806667,N/A,283.97470,2.1367800
2023-12-0101:43:00.000,2.1046667,N/A,282.94128,2.4252100
2023-12-0101:44:00.000,57.196667,N/A,281.82193,2.8055601
2023-12-0101:45:00.000,390.23600,N/A,280.59323,3.3153000
2023-12-0101:46:00.000,393.15333,N/A,279.22348,4.0090098
2023-12-0101:47:00.000,107.78333,N/A,277.66876,4.9756598
2023-12-0101:48:00.000,3.8320000,N/A,275.86621,6.3797798
2023-12-0101:49:00.000,2.4200000,N/A,273.72278,8.5402203
2023-12-0101:50:00.000,1.9243333,N/A,271.09512,12.041320
2023-12-0101:51:00.000,1.8306667,N/A,267.75208,18.009569
2023-12-0101:52:00.000,1.8846667,N/A,263.30066,28.615210
2023-12-0101:53:00.000,1.7830000,N/A,257.03470,46.810680
2023-12-0101:54:00.000,1.7810000,N/A,247.63103,67.987373
2023-12-0101:55:00.000,1.9426667,N/A,232.71458,67.572693
2023-12-0101:56:00.000,2.0663333,N/A,209.63152,46.719299
2023-12-0101:57:00.000,2.2363333,N/A,181.54335,29.182301
2023-12-0101:58:00.000,2.1806667,N/A,158.54459,18.871901
2023-12-0101:59:00.000,11.905667,N/A,143.69920,12.884110
2023-12-0102:00:00.000,57.172667,N/A,134.33707,9.1832199
2023-12-0102:01:00.000,226.15724,N/A,128.09471,6.7565098
2023-12-0102:02:00.000,461.31733,0.000000e+0,123.65738,5.1822701
2023-12-0102:03:00.000,499.07667,0.000000e+0,120.32325,4.1276698
2023-12-0102:04:00.000,68.162667,N/A,117.70156,3.3788700
2023-12-0102:05:00.000,11.975333,N/A,115.56231,2.8225000
2023-12-0102:06:00.000,7.5256667,N/A,113.76282,2.4008100
2023-12-0102:07:00.000,2.2273333,N/A,112.21044,2.0767300
2023-12-0102:08:00.000,1.4097841,0.000000e+0,110.84253,1.8252300
2023-12-0102:09:00.000,1.2223333,0.000000e+0,109.61531,1.6262600
2023-12-0102:10:00.000,1.1740000,N/A,108.49720,1.4681799
2023-12-0102:11:00.000,1.0750000,N/A,107.46483,1.3421100
2023-12-0102:12:00.000,1.0216667,N/A,106.50047,1.2408500
2023-12-0102:13:00.000,0.94333333,N/A,105.59036,1.1607900
2023-12-0102:14:00.000,0.90633333,N/A,104.72357,1.0981400
2023-12-0102:15:00.000,0.97266667,N/A,103.89124,1.0502501
2023-12-0102:16:00.000,0.91266667,N/A,103.08600,1.0156500
2023-12-0102:17:00.000,0.86333333,N/A,102.30162,0.99335003
2023-12-0102:18:00.000,0.90433333,N/A,101.53264,0.98264998
2023-12-0102:19:00.000,0.87166667,N/A,100.77417,0.98357999
2023-12-0102:20:00.000,N/A,N/A,100.02169,0.99504000
