date,gamma,elecro,lon,L
2024-04-0100:00:00.000,N/A,N/A,132.68253,1.3607500
2024-04-0100:01:00.000,N/A,N/A,131.85226,1.4938300
2024-04-0100:02:00.000,N/A,N/A,130.98773,1.6664799
2024-04-0100:03:00.000,N/A,N/A,130.08015,1.8928300
2024-04-0100:04:00.000,N/A,N/A,129.11868,2.1924300
2024-04-0100:05:00.000,N/A,N/A,128.08974,2.5990000
2024-04-0100:06:00.000,N/A,N/A,126.97577,3.1651499
2024-04-0100:07:00.000,N/A,N/A,125.75374,3.9743199
2024-04-0100:08:00.000,N/A,N/A,124.39253,5.1615801
2024-04-0100:09:00.000,N/A,N/A,122.84906,6.9959798
2024-04-0100:10:00.000,N/A,N/A,121.06185,10.188050
2024-04-0100:11:00.000,N/A,N/A,118.94017,16.373569
2024-04-0100:12:00.000,N/A,N/A,116.34469,29.639111
2024-04-0100:13:00.000,N/A,N/A,113.05158,60.862041
2024-04-0100:14:00.000,N/A,N/A,108.68209,119.62331
2024-04-0100:15:00.000,N/A,N/A,102.55904,112.54733
2024-04-0100:16:00.000,N/A,N/A,93.418427,57.999069
2024-04-0100:17:00.000,N/A,N/A,78.979713,30.699650
2024-04-0100:18:00.000,N/A,N/A,56.533260,18.624201
2024-04-0100:19:00.000,N/A,N/A,28.591610,12.534210
2024-04-0100:20:00.000,N/A,N/A,5.0973301,9.0997400
2024-04-0100:21:00.000,N/A,N/A,349.77005,6.9681101
2024-04-0100:22:00.000,N/A,N/A,340.10867,5.5408802
2024-04-0100:23:00.000,N/A,N/A,333.68948,4.5365400
2024-04-0100:24:00.000,N/A,N/A,329.14343,3.8120000
2024-04-0100:25:00.000,N/A,N/A,325.73889,3.2768400
2024-04-0100:26:00.000,N/A,N/A,323.06931,2.8697300
2024-04-0100:27:00.000,N/A,N/A,320.89618,2.5498199
2024-04-0100:28:00.000,N/A,N/A,319.07193,2.2918301
2024-04-0100:29:00.000,N/A,N/A,317.50092,2.0805199
2024-04-0100:30:00.000,N/A,N/A,316.11871,1.9051400
2024-04-0100:31:00.000,N/A,N/A,314.88034,1.7586900
2024-04-0100:32:00.000,N/A,N/A,313.75336,1.6350501
2024-04-0100:33:00.000,N/A,N/A,312.71390,1.5307200
2024-04-0100:34:00.000,N/A,N/A,311.74380,1.4424400
2024-04-0100:35:00.000,N/A,N/A,310.82901,1.3681400
2024-04-0100:36:00.000,N/A,N/A,309.95844,1.3063700
2024-04-0100:37:00.000,N/A,N/A,309.12299,1.2555799
2024-04-0100:38:00.000,N/A,N/A,308.31522,1.2149301
2024-04-0100:39:00.000,N/A,N/A,307.52881,1.1838400
2024-04-0100:40:00.000,N/A,N/A,306.75818,1.1626300
2024-04-0100:41:00.000,N/A,N/A,305.99841,1.1520000
2024-04-0100:42:00.000,N/A,N/A,305.24493,1.1497800
2024-04-0100:43:00.000,N/A,N/A,304.49341,1.1577100
2024-04-0100:44:00.000,N/A,N/A,303.73950,1.1770300
2024-04-0100:45:00.000,N/A,N/A,302.97888,1.2092600
2024-04-0100:46:00.000,N/A,N/A,302.20691,1.2557900
2024-04-0100:47:00.000,N/A,N/A,301.41861,1.3183500
2024-04-0100:48:00.000,N/A,N/A,300.60837,1.4007800
2024-04-0100:49:00.000,N/A,N/A,299.76974,1.5068800
2024-04-0100:50:00.000,N/A,N/A,298.89502,1.6410500
2024-04-0100:51:00.000,N/A,N/A,297.97501,1.8102900
2024-04-0100:52:00.000,N/A,N/A,296.99826,2.0257800
2024-04-0100:53:00.000,N/A,N/A,295.95029,2.3046300
2024-04-0100:54:00.000,N/A,N/A,294.81232,2.6728001
2024-04-0100:55:00.000,N/A,N/A,293.55954,3.1706700
2024-04-0100:56:00.000,N/A,N/A,292.15820,3.8557200
2024-04-0100:57:00.000,N/A,N/A,290.56125,4.8251700
2024-04-0100:58:00.000,N/A,N/A,288.70087,6.2691798
2024-04-0100:59:00.000,N/A,N/A,286.47598,8.5681200
2024-04-0101:00:00.000,N/A,N/A,283.72937,12.482960
2024-04-0101:01:00.000,N/A,N/A,280.20493,19.720860
2024-04-0101:02:00.000,N/A,N/A,275.46216,34.545940
2024-04-0101:03:00.000,N/A,N/A,268.70059,67.341927
2024-04-0101:04:00.000,N/A,N/A,258.41507,119.78375
2024-04-0101:05:00.000,N/A,N/A,241.99896,108.53761
2024-04-0101:06:00.000,N/A,N/A,217.26421,58.253288
2024-04-0101:07:00.000,N/A,N/A,189.39383,31.352699
2024-04-0101:08:00.000,N/A,N/A,168.11026,18.881500
2024-04-0101:09:00.000,N/A,N/A,154.62579,12.443950
2024-04-0101:10:00.000,N/A,N/A,146.05455,8.7071800
2024-04-0101:11:00.000,N/A,N/A,140.26500,6.3605499
2024-04-0101:12:00.000,N/A,N/A,136.10028,4.8715301
2024-04-0101:13:00.000,N/A,N/A,132.93993,3.8818901
2024-04-0101:14:00.000,N/A,N/A,130.43477,3.1830800
2024-04-0101:15:00.000,N/A,N/A,128.37708,2.6686599
2024-04-0101:16:00.000,N/A,N/A,126.63673,2.2808001
2024-04-0101:17:00.000,N/A,N/A,125.12850,1.9843100
2024-04-0101:18:00.000,N/A,N/A,123.79437,1.7540900
2024-04-0101:19:00.000,N/A,N/A,122.59351,1.5730900
2024-04-0101:20:00.000,N/A,N/A,121.49634,1.4286400
2024-04-0101:21:00.000,N/A,N/A,120.48082,1.3135000
2024-04-0101:22:00.000,N/A,N/A,119.53017,1.2218699
2024-04-0101:23:00.000,N/A,N/A,118.63130,1.1488100
2024-04-0101:24:00.000,N/A,N/A,117.77378,1.0919400
2024-04-0101:25:00.000,N/A,N/A,116.94911,1.0486000
2024-04-0101:26:00.000,N/A,N/A,116.15020,1.0173000
2024-04-0101:27:00.000,N/A,N/A,115.37100,0.99703997
2024-04-0101:28:00.000,N/A,N/A,114.60621,0.98819000
2024-04-0101:29:00.000,N/A,N/A,113.85103,0.98974001
2024-04-0101:30:00.000,N/A,N/A,113.10102,1.0017999
2024-04-0101:31:00.000,N/A,N/A,112.35192,1.0263300
2024-04-0101:32:00.000,N/A,N/A,111.59948,1.0630100
2024-04-0101:33:00.000,N/A,N/A,110.83935,1.1155200
2024-04-0101:34:00.000,N/A,N/A,110.06692,1.1855000
2024-04-0101:35:00.000,N/A,N/A,109.27713,1.2783500
2024-04-0101:36:00.000,N/A,N/A,108.46431,1.3977200
2024-04-0101:37:00.000,N/A,N/A,107.62187,1.5526201
2024-04-0101:38:00.000,N/A,N/A,106.74199,1.7528501
2024-04-0101:39:00.000,N/A,N/A,105.81520,2.0133700
