date,gamma,elecro,lon,L
2024-01-0100:00:00.000,N/A,N/A,132.30852,1.3354900
2024-01-0100:01:00.000,N/A,N/A,131.48308,1.4615099
2024-01-0100:02:00.000,N/A,N/A,130.62488,1.6254400
2024-01-0100:03:00.000,N/A,N/A,129.72543,1.8393700
2024-01-0100:04:00.000,N/A,N/A,128.77435,2.1215799
2024-01-0100:05:00.000,N/A,N/A,127.75861,2.5027900
2024-01-0100:06:00.000,N/A,N/A,126.66155,3.0314300
2024-01-0100:07:00.000,N/A,N/A,125.46131,3.7825301
2024-01-0100:08:00.000,N/A,N/A,124.12855,4.8779702
2024-01-0100:09:00.000,N/A,N/A,122.62285,6.5457501
2024-01-0100:10:00.000,N/A,N/A,120.88690,9.3694897
2024-01-0100:11:00.000,N/A,N/A,118.83664,14.731030
2024-01-0100:12:00.000,N/A,N/A,116.34408,25.926559
2024-01-0100:13:00.000,N/A,N/A,113.20547,51.443039
2024-01-0100:14:00.000,N/A,N/A,109.07961,103.46078
2024-01-0100:15:00.000,N/A,N/A,103.36279,115.79948
2024-01-0100:16:00.000,N/A,N/A,94.934738,64.092087
2024-01-0100:17:00.000,N/A,N/A,81.734871,33.641369
2024-01-0100:18:00.000,N/A,N/A,60.917019,20.048849
2024-01-0100:19:00.000,N/A,N/A,33.347401,13.300360
2024-01-0100:20:00.000,N/A,N/A,8.3947802,9.5521603
2024-01-0100:21:00.000,N/A,N/A,351.64072,7.2578101
2024-01-0100:22:00.000,N/A,N/A,341.12000,5.7378201
2024-01-0100:23:00.000,N/A,N/A,334.21280,4.6748800
2024-01-0100:24:00.000,N/A,N/A,329.37790,3.9100900
2024-01-0100:25:00.000,N/A,N/A,325.79236,3.3475900
2024-01-0100:26:00.000,N/A,N/A,323.00327,2.9220901
2024-01-0100:27:00.000,N/A,N/A,320.74765,2.5900900
2024-01-0100:28:00.000,N/A,N/A,318.86429,2.3230700
2024-01-0100:29:00.000,N/A,N/A,317.24969,2.1051400
2024-01-0100:30:00.000,N/A,N/A,315.83450,1.9247600
2024-01-0100:31:00.000,N/A,N/A,314.57059,1.7744499
2024-01-0100:32:00.000,N/A,N/A,313.42361,1.6479000
2024-01-0100:33:00.000,N/A,N/A,312.36823,1.5412199
2024-01-0100:34:00.000,N/A,N/A,311.38531,1.4514700
2024-01-0100:35:00.000,N/A,N/A,310.46021,1.3756599
2024-01-0100:36:00.000,N/A,N/A,309.58124,1.3127100
2024-01-0100:37:00.000,N/A,N/A,308.73901,1.2605900
2024-01-0100:38:00.000,N/A,N/A,307.92581,1.2194700
2024-01-0100:39:00.000,N/A,N/A,307.13513,1.1877400
2024-01-0100:40:00.000,N/A,N/A,306.36124,1.1656700
2024-01-0100:41:00.000,N/A,N/A,305.59912,1.1538500
2024-01-0100:42:00.000,N/A,N/A,304.84415,1.1512300
2024-01-0100:43:00.000,N/A,N/A,304.09192,1.1581900
2024-01-0100:44:00.000,N/A,N/A,303.33820,1.1768700
2024-01-0100:45:00.000,N/A,N/A,302.57861,1.2077100
2024-01-0100:46:00.000,N/A,N/A,301.80862,1.2523000
2024-01-0100:47:00.000,N/A,N/A,301.02328,1.3134201
