date,gamma,elecro,lon,L
2024-02-0103:41:00.000,0.72966667,N/A,81.268471,0.98875999
2024-02-0103:42:00.000,0.75300000,N/A,80.506790,0.98720998
2024-02-0103:43:00.000,0.76966667,N/A,79.752167,0.99631000
2024-02-0103:44:00.000,0.75700000,N/A,79.000229,1.0171900
2024-02-0103:45:00.000,0.72700000,N/A,78.246681,1.0507500
2024-02-0103:46:00.000,0.80466667,N/A,77.487198,1.0987800
2024-02-0103:47:00.000,0.83233333,N/A,76.717232,1.1629200
2024-02-0103:48:00.000,0.92700000,N/A,75.931862,1.2455500
2024-02-0103:49:00.000,0.95800000,N/A,75.125618,1.3509700
2024-02-0103:50:00.000,1.0726667,N/A,74.292229,1.4836100
2024-02-0103:51:00.000,1.1810000,N/A,73.424309,1.6489201
2024-02-0103:52:00.000,1.3480000,N/A,72.512993,1.8537700
2024-02-0103:53:00.000,1.4860000,N/A,71.547310,2.1076200
2024-02-0103:54:00.000,1.6100000,N/A,70.513481,2.4233301
2024-02-0103:55:00.000,1.7916667,N/A,69.393738,2.8157499
2024-02-0103:56:00.000,2.4720000,N/A,68.164703,3.3024299
2024-02-0103:57:00.000,26.022333,N/A,66.794731,3.9041100
2024-02-0103:58:00.000,139.46233,N/A,65.240028,4.6471100
2024-02-0103:59:00.000,157.98333,0.000000e+0,63.437962,5.5601401
2024-02-0104:00:00.000,25.350667,N/A,61.295891,6.6545200
2024-02-0104:01:00.000,3.2230000,N/A,58.671291,7.8944101
2024-02-0104:02:00.000,3.8166667,N/A,55.334641,9.1714697
2024-02-0104:03:00.000,4.6753333,N/A,50.896420,10.289960
2024-02-0104:04:00.000,3.7286667,N/A,44.658260,10.987750
2024-02-0104:05:00.000,4.3913333,N/A,35.314980,11.048310
2024-02-0104:06:00.000,4.8570000,N/A,20.527241,10.444470
2024-02-0104:07:00.000,3.8873333,N/A,357.65320,9.3633003
2024-02-0104:08:00.000,5.3803333,N/A,329.67953,8.0792398
2024-02-0104:09:00.000,221.82300,N/A,306.59332,6.8123498
2024-02-0104:10:00.000,307.42300,N/A,291.62592,5.6835799
2024-02-0104:11:00.000,144.47500,N/A,282.17746,4.7388802
2024-02-0104:12:00.000,14.558333,N/A,275.87964,3.9819701
2024-02-0104:13:00.000,2.9996667,N/A,271.40594,3.3883200
2024-02-0104:14:00.000,4.7053333,N/A,268.04703,2.9244201
2024-02-0104:15:00.000,5.8430000,N/A,265.40781,2.5585599
2024-02-0104:16:00.000,2.7490000,N/A,263.25574,2.2681401
2024-02-0104:17:00.000,1.4120000,N/A,261.44662,2.0351601
2024-02-0104:18:00.000,1.5936667,N/A,259.88687,1.8465000
2024-02-0104:19:00.000,1.2350000,N/A,258.51324,1.6928000
2024-02-0104:20:00.000,1.4216667,N/A,257.28156,1.5662000
2024-02-0104:21:00.000,1.4226667,N/A,256.15991,1.4618000
2024-02-0104:22:00.000,1.1696667,N/A,255.12480,1.3750499
2024-02-0104:23:00.000,0.94766667,N/A,254.15831,1.3035300
2024-02-0104:24:00.000,0.95533333,N/A,253.24658,1.2450000
2024-02-0104:25:00.000,0.94066667,N/A,252.37862,1.1973799
2024-02-0104:26:00.000,1.1466667,N/A,251.54549,1.1599300
2024-02-0104:27:00.000,1.0436667,N/A,250.73981,1.1321700
2024-02-0104:28:00.000,0.89366667,N/A,249.95531,1.1126900
2024-02-0104:29:00.000,1.0006667,N/A,249.18651,1.1011600
2024-02-0104:30:00.000,0.85433333,N/A,248.42850,1.0985200
2024-02-0104:31:00.000,1.0409000,0.000000e+0,247.67677,1.1046700
2024-02-0104:32:00.000,1.0176667,N/A,246.92703,1.1192300
2024-02-0104:33:00.000,0.82700000,N/A,246.17502,1.1440300
2024-02-0104:34:00.000,0.94366667,N/A,245.41643,1.1798700
2024-02-0104:35:00.000,0.85333333,N/A,244.64671,1.2274899
2024-02-0104:36:00.000,1.0560000,N/A,243.86095,1.2891001
2024-02-0104:37:00.000,1.2010000,N/A,243.05362,1.3664500
2024-02-0104:38:00.000,1.1223333,N/A,242.21835,1.4632601
2024-02-0104:39:00.000,1.2463333,N/A,241.34769,1.5819800
2024-02-0104:40:00.000,1.2893333,N/A,240.43256,1.7292200
2024-02-0104:41:00.000,1.4043333,N/A,239.46178,1.9105800
2024-02-0104:42:00.000,2.0576667,N/A,238.42123,2.1369600
2024-02-0104:43:00.000,2.7293333,N/A,237.29272,2.4222500
2024-02-0104:44:00.000,1.8116667,N/A,236.05212,2.7853999
2024-02-0104:45:00.000,5.6226667,N/A,234.66684,3.2556601
2024-02-0104:46:00.000,60.728667,N/A,233.09151,3.8726799
2024-02-0104:47:00.000,250.07367,0.000000e+0,231.26108,4.6978598
2024-02-0104:48:00.000,105.31267,0.000000e+0,229.07895,5.8260298
2024-02-0104:49:00.000,4.6573333,N/A,226.39583,7.4032798
2024-02-0104:50:00.000,2.2333333,N/A,222.96996,9.6316004
2024-02-0104:51:00.000,4.0156667,N/A,218.38863,12.748190
2024-02-0104:52:00.000,4.1380000,N/A,211.90747,16.875811
2024-02-0104:53:00.000,2.9366667,N/A,202.13184,21.529200
2024-02-0104:54:00.000,2.6566667,0.000000e+0,186.60031,24.967279
2024-02-0104:55:00.000,3.4210000,0.000000e+0,162.85452,24.953060
2024-02-0104:56:00.000,3.8233333,0.000000e+0,134.89162,21.500540
2024-02-0104:57:00.000,2.1230000,0.000000e+0,112.65677,16.925911
2024-02-0104:58:00.000,2.6250000,N/A,98.405159,12.771800
2024-02-0104:59:00.000,N/A,N/A,89.378662,9.5421896
2024-02-0105:00:00.000,N/A,N/A,83.322952,7.1826901
2024-02-0105:01:00.000,N/A,N/A,78.994850,5.5541201
2024-02-0105:02:00.000,N/A,N/A,75.728477,4.4232001
2024-02-0105:03:00.000,N/A,N/A,73.151039,3.6078200
2024-02-0105:04:00.000,N/A,N/A,71.041939,3.0011001
2024-02-0105:05:00.000,1.5788889,0.50777778,69.263741,2.5404301
2024-02-0105:06:00.000,1.2933333,0.45433333,67.726807,2.1868100
2024-02-0105:07:00.000,1.1760000,0.43833333,66.370377,1.9125201
2024-02-0105:08:00.000,1.0710000,0.41000000,65.151817,1.6973900
2024-02-0105:09:00.000,0.94400000,0.38166667,64.040337,1.5276400
2024-02-0105:10:00.000,0.85833333,0.36300000,63.013069,1.3923100
2024-02-0105:11:00.000,0.81633333,0.35066667,62.052631,1.2853100
2024-02-0105:12:00.000,0.72833333,0.31400000,61.145519,1.2011400
2024-02-0105:13:00.000,0.75700000,0.35166667,60.280979,1.1356699
2024-02-0105:14:00.000,0.77400000,0.33833333,59.450260,1.0862800
2024-02-0105:15:00.000,0.73266667,0.32900000,58.646099,1.0510900
2024-02-0105:16:00.000,0.71866667,0.30933333,57.862309,1.0282201
2024-02-0105:17:00.000,0.74133333,0.34866667,57.093460,1.0174201
2024-02-0105:18:00.000,0.75500000,0.37333333,56.334679,1.0187200
2024-02-0105:19:00.000,0.74800000,0.35433333,55.581451,1.0307000
2024-02-0105:20:00.000,0.74766667,0.33333333,54.829449,1.0550300
2024-02-0105:21:00.000,0.77766667,0.37000000,54.074371,1.0927300
2024-02-0105:22:00.000,0.82633333,0.39766667,53.311840,1.1444401
2024-02-0105:23:00.000,0.83400000,0.35933333,52.537189,1.2125900
2024-02-0105:24:00.000,0.90600000,0.38266667,51.745361,1.2990900
2024-02-0105:25:00.000,1.0090000,0.40266667,50.930618,1.4059900
2024-02-0105:26:00.000,1.0490000,0.41200000,50.086361,1.5364600
2024-02-0105:27:00.000,1.2610000,0.45300000,49.204750,1.6928999
2024-02-0105:28:00.000,1.3170000,0.48200000,48.276260,1.8792599
2024-02-0105:29:00.000,1.3186667,0.47566667,47.289082,2.0988500
